model,cos_features_extractor,cos_pi_features_extractor,cos_vf_features_extractor,cos_action_net,cos_value_net
track4_ft,0.7280100584030151,0.7280100584030151,0.7280100584030151,0.8432676196098328,0.9611737132072449
track1_ft,0.5540181994438171,0.5540181994438171,0.5540181994438171,0.7273549437522888,0.9348363876342773
track2_ft_track4,0.5922127962112427,0.5922127962112427,0.5922127962112427,0.8260853886604309,0.9550923109054565
track3_ft_track4,0.5131117701530457,0.5131117701530457,0.5131117701530457,0.7550086379051208,0.945476770401001
track2_ft_track1,0.4212322235107422,0.4212322235107422,0.4212322235107422,0.6574715971946716,0.9084709882736206
track3_ft_track1,0.43226027488708496,0.43226027488708496,0.43226027488708496,0.6517238616943359,0.923969030380249
