name,shape,numel,mean,std,min,max,max_abs,l2_norm,l1_norm,zeros_frac,p95_abs,p99_abs,is_bias
log_std,"(2,)",2,0.8852322101593018,0.10513874888420105,0.7800934910774231,0.9903709888458252,0.9903709888458252,1.2607063055038452,1.7704644203186035,0.0,0.9798570871353149,0.9882681965827942,False
features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.0010593989863991737,0.10307008028030396,-0.3195899724960327,0.39939630031585693,0.39939630031585693,4.664666175842285,163.26828002929688,0.0,0.21031275391578674,0.280406653881073,False
features_extractor.cnn.0.bias,"(32,)",32,0.008916729129850864,0.059028830379247665,-0.11962112039327621,0.14613503217697144,0.14613503217697144,0.33770570158958435,1.465152621269226,0.0,0.11676079779863358,0.1379157304763794,True
features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0005008041043765843,0.03562844544649124,-0.27171945571899414,0.21185320615768433,0.27171945571899414,6.450076103210449,831.6209106445312,0.0,0.07416866719722748,0.11286963522434235,False
features_extractor.cnn.2.bias,"(64,)",64,0.008474345318973064,0.05333910509943962,-0.07901051640510559,0.1804639995098114,0.1804639995098114,0.43206480145454407,2.5348739624023438,0.0,0.10891641676425934,0.16261695325374603,True
features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.000990989850834012,0.03595777601003647,-0.3075888454914093,0.24403072893619537,0.3075888454914093,6.906512260437012,874.2139892578125,0.0,0.07752974331378937,0.11893757432699203,False
features_extractor.cnn.4.bias,"(64,)",64,0.02156469225883484,0.03886463865637779,-0.05292489379644394,0.13689400255680084,0.13689400255680084,0.3555724322795868,2.0971415042877197,0.0,0.08088849484920502,0.12874504923820496,True
features_extractor.linear.0.weight,"(512, 64)",32768,-0.0008909187745302916,0.028125906363129616,-0.1747114509344101,0.17593349516391754,0.17593349516391754,5.093885898590088,550.6353759765625,0.0,0.06278243660926819,0.09955816715955734,False
features_extractor.linear.0.bias,"(512,)",512,0.03513757139444351,0.04069063067436218,-0.041813869029283524,0.15197378396987915,0.15197378396987915,1.216500163078308,19.049335479736328,0.0,0.11595743894577026,0.1376173347234726,True
pi_features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.0010593989863991737,0.10307008028030396,-0.3195899724960327,0.39939630031585693,0.39939630031585693,4.664666175842285,163.26828002929688,0.0,0.21031275391578674,0.280406653881073,False
pi_features_extractor.cnn.0.bias,"(32,)",32,0.008916729129850864,0.059028830379247665,-0.11962112039327621,0.14613503217697144,0.14613503217697144,0.33770570158958435,1.465152621269226,0.0,0.11676079779863358,0.1379157304763794,True
pi_features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0005008041043765843,0.03562844544649124,-0.27171945571899414,0.21185320615768433,0.27171945571899414,6.450076103210449,831.6209106445312,0.0,0.07416866719722748,0.11286963522434235,False
pi_features_extractor.cnn.2.bias,"(64,)",64,0.008474345318973064,0.05333910509943962,-0.07901051640510559,0.1804639995098114,0.1804639995098114,0.43206480145454407,2.5348739624023438,0.0,0.10891641676425934,0.16261695325374603,True
pi_features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.000990989850834012,0.03595777601003647,-0.3075888454914093,0.24403072893619537,0.3075888454914093,6.906512260437012,874.2139892578125,0.0,0.07752974331378937,0.11893757432699203,False
pi_features_extractor.cnn.4.bias,"(64,)",64,0.02156469225883484,0.03886463865637779,-0.05292489379644394,0.13689400255680084,0.13689400255680084,0.3555724322795868,2.0971415042877197,0.0,0.08088849484920502,0.12874504923820496,True
pi_features_extractor.linear.0.weight,"(512, 64)",32768,-0.0008909187745302916,0.028125906363129616,-0.1747114509344101,0.17593349516391754,0.17593349516391754,5.093885898590088,550.6353759765625,0.0,0.06278243660926819,0.09955816715955734,False
