model,log_std_mean,log_std_std,log_std_min,log_std_max,diff_l2_features_extractor,diff_rel_features_extractor,diff_l2_pi_features_extractor,diff_rel_pi_features_extractor,diff_l2_vf_features_extractor,diff_rel_vf_features_extractor,diff_l2_action_net,diff_rel_action_net,diff_l2_value_net,diff_rel_value_net,diff_l2_log_std,diff_rel_log_std
track4_ft,0.41224169731140137,0.08859588205814362,0.32364580035209656,0.5008375644683838,8.711939244874808,0.7187886959118798,8.711939244874808,0.7187886959118798,8.711939244874808,0.7187886959118798,0.5821900614608626,0.7888095417487275,0.8737356628539866,0.5298097103390874,0.23537508265311016,0.6504517573613573
track1_ft,0.6770286560058594,0.14797517657279968,0.5290534496307373,0.8250038027763367,11.196550266481362,0.9237844225659082,11.196550266481362,0.9237844225659082,11.196550266481362,0.9237844225659082,0.9762290621229438,1.3226931377061237,0.9562097312669989,0.5798197581762744,0.6186956015670197,1.709746149740513
track2_ft_track4,0.5919875502586365,0.0011042356491088867,0.5908833146095276,0.5930917859077454,10.79718807718148,0.8908345799218321,10.79718807718148,0.8908345799218321,10.79718807718148,0.8908345799218321,0.6561401585171212,0.8890045571443015,0.8598958930709523,0.5214176476917207,0.4954881651414823,1.3692662117638685
track3_ft_track4,0.6834918260574341,0.025767385959625244,0.6577244400978088,0.7092592120170593,11.737622444243645,0.9684262128856409,11.737622444243645,0.9684262128856409,11.737622444243645,0.9684262128856409,0.8869703954299879,1.201756535328369,0.938980297994467,0.5693722951282286,0.6190818493980581,1.710813533669364
track2_ft_track1,0.8852322101593018,0.10513874888420105,0.7800934910774231,0.9903709888458252,12.863520504185766,1.061319743876644,12.863520504185766,1.061319743876644,12.863520504185766,1.061319743876644,1.1029178337996657,1.494343803951209,1.2207329509906044,0.7402194950508658,0.9036875705076544,2.497312636990601
track3_ft_track1,0.819344162940979,0.14792591333389282,0.6714182496070862,0.9672700762748718,12.85679866944096,1.0607651510707774,12.85679866944096,1.0607651510707774,12.85679866944096,1.0607651510707774,1.1819694964387397,1.6014509325482418,1.1495507807394358,0.6970565493163484,0.8171864482223715,2.258269462284154
