name,shape,numel,mean,std,min,max,max_abs,l2_norm,l1_norm,zeros_frac,p95_abs,p99_abs,is_bias
log_std,"(2,)",2,0.24749299883842468,0.0649615004658699,0.18253149092197418,0.312454491853714,0.312454491853714,0.36186400055885315,0.49498599767684937,0.0,0.3059583306312561,0.3111552596092224,False
features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.008850803598761559,0.14074575901031494,-0.42023295164108276,0.46533626317977905,0.46533626317977905,6.382007598876953,229.94024658203125,0.0,0.28359711170196533,0.36502912640571594,False
features_extractor.cnn.0.bias,"(32,)",32,-0.006750975735485554,0.03171040490269661,-0.09496365487575531,0.042105402797460556,0.09496365487575531,0.18340124189853668,0.7524310350418091,0.0,0.06209933012723923,0.088279590010643,True
features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0005670180544257164,0.03722329065203667,-0.2626485824584961,0.23024407029151917,0.2626485824584961,6.738915920257568,844.867919921875,0.0,0.07984014600515366,0.1197756826877594,False
features_extractor.cnn.2.bias,"(64,)",64,0.0012723924592137337,0.02346154861152172,-0.04772124066948891,0.05176737159490585,0.05176737159490585,0.1879682093858719,1.229541301727295,0.0,0.04586133733391762,0.049218304455280304,True
features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.00016143749235197902,0.03168024867773056,-0.23833945393562317,0.22055204212665558,0.23833945393562317,6.08268404006958,689.910400390625,0.0,0.07207643985748291,0.11303476989269257,False
features_extractor.cnn.4.bias,"(64,)",64,0.01219133660197258,0.017886556684970856,-0.025826388970017433,0.04480412229895592,0.04480412229895592,0.17316952347755432,1.1233916282653809,0.0,0.040083300322294235,0.043480779975652695,True
features_extractor.linear.0.weight,"(512, 64)",32768,0.002631921786814928,0.02659047767519951,-0.1982196420431137,0.23685099184513092,0.23685099184513092,4.836910724639893,477.3300476074219,0.0,0.06268816441297531,0.1003095805644989,False
features_extractor.linear.0.bias,"(512,)",512,0.012540852651000023,0.018984826281666756,-0.03726482763886452,0.07028770446777344,0.07028770446777344,0.5148404836654663,7.971147060394287,0.0,0.052330322563648224,0.06162748858332634,True
pi_features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.008850803598761559,0.14074575901031494,-0.42023295164108276,0.46533626317977905,0.46533626317977905,6.382007598876953,229.94024658203125,0.0,0.28359711170196533,0.36502912640571594,False
pi_features_extractor.cnn.0.bias,"(32,)",32,-0.006750975735485554,0.03171040490269661,-0.09496365487575531,0.042105402797460556,0.09496365487575531,0.18340124189853668,0.7524310350418091,0.0,0.06209933012723923,0.088279590010643,True
pi_features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0005670180544257164,0.03722329065203667,-0.2626485824584961,0.23024407029151917,0.2626485824584961,6.738915920257568,844.867919921875,0.0,0.07984014600515366,0.1197756826877594,False
pi_features_extractor.cnn.2.bias,"(64,)",64,0.0012723924592137337,0.02346154861152172,-0.04772124066948891,0.05176737159490585,0.05176737159490585,0.1879682093858719,1.229541301727295,0.0,0.04586133733391762,0.049218304455280304,True
pi_features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.00016143749235197902,0.03168024867773056,-0.23833945393562317,0.22055204212665558,0.23833945393562317,6.08268404006958,689.910400390625,0.0,0.07207643985748291,0.11303476989269257,False
pi_features_extractor.cnn.4.bias,"(64,)",64,0.01219133660197258,0.017886556684970856,-0.025826388970017433,0.04480412229895592,0.04480412229895592,0.17316952347755432,1.1233916282653809,0.0,0.040083300322294235,0.043480779975652695,True
pi_features_extractor.linear.0.weight,"(512, 64)",32768,0.002631921786814928,0.02659047767519951,-0.1982196420431137,0.23685099184513092,0.23685099184513092,4.836910724639893,477.3300476074219,0.0,0.06268816441297531,0.1003095805644989,False
pi_features_extractor.linear.0.bias,"(512,)",512,0.012540852651000023,0.018984826281666756,-0.03726482763886452,0.07028770446777344,0.07028770446777344,0.5148404836654663,7.971147060394287,0.0,0.052330322563648224,0.06162748858332634,True
vf_features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.008850803598761559,0.14074575901031494,-0.42023295164108276,0.46533626317977905,0.46533626317977905,6.382007598876953,229.94024658203125,0.0,0.28359711170196533,0.36502912640571594,False
vf_features_extractor.cnn.0.bias,"(32,)",32,-0.006750975735485554,0.03171040490269661,-0.09496365487575531,0.042105402797460556,0.09496365487575531,0.18340124189853668,0.7524310350418091,0.0,0.06209933012723923,0.088279590010643,True
vf_features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0005670180544257164,0.03722329065203667,-0.2626485824584961,0.23024407029151917,0.2626485824584961,6.738915920257568,844.867919921875,0.0,0.07984014600515366,0.1197756826877594,False
