name,shape,numel,mean,std,min,max,max_abs,l2_norm,l1_norm,zeros_frac,p95_abs,p99_abs,is_bias
log_std,"(2,)",2,0.41224169731140137,0.08859588205814362,0.32364580035209656,0.5008375644683838,0.5008375644683838,0.5963093638420105,0.8244833946228027,0.0,0.4919779598712921,0.499065637588501,False
features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.005058435723185539,0.12366004288196564,-0.3546121120452881,0.4247305989265442,0.4247305989265442,5.600894451141357,201.44210815429688,0.0,0.24697254598140717,0.3186783790588379,False
features_extractor.cnn.0.bias,"(32,)",32,-0.018489308655261993,0.030501987785100937,-0.09704465419054031,0.02123967558145523,0.09704465419054031,0.20177021622657776,0.7649167776107788,0.0,0.07715964317321777,0.09122160822153091,True
features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0014439616352319717,0.034705568104982376,-0.24219372868537903,0.2354886531829834,0.24219372868537903,6.287813663482666,720.5330810546875,0.0,0.07587214559316635,0.12112673372030258,False
features_extractor.cnn.2.bias,"(64,)",64,-0.01005729753524065,0.019627975299954414,-0.047532275319099426,0.033259306102991104,0.047532275319099426,0.17643703520298004,1.109726071357727,0.0,0.04440571367740631,0.047167643904685974,True
features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.00043549761176109314,0.030196886509656906,-0.42538708448410034,0.2606365382671356,0.42538708448410034,5.798402786254883,595.3916015625,0.0,0.06773772090673447,0.11546327918767929,False
features_extractor.cnn.4.bias,"(64,)",64,0.015244066715240479,0.024092938750982285,-0.04117904230952263,0.06661824136972427,0.06661824136972427,0.22808437049388885,1.3180980682373047,0.0,0.054841239005327225,0.06130494549870491,True
features_extractor.linear.0.weight,"(512, 64)",32768,0.0018162063788622618,0.027893951162695885,-0.2668794095516205,0.2202759087085724,0.2668794095516205,5.060035228729248,489.8665771484375,0.0,0.06576179713010788,0.10151425749063492,False
features_extractor.linear.0.bias,"(512,)",512,0.019764861091971397,0.029766706749796867,-0.07298896461725235,0.10109194368124008,0.10109194368124008,0.8085009455680847,11.862727165222168,0.0,0.08494126051664352,0.09826449304819107,True
pi_features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.005058435723185539,0.12366004288196564,-0.3546121120452881,0.4247305989265442,0.4247305989265442,5.600894451141357,201.44210815429688,0.0,0.24697254598140717,0.3186783790588379,False
pi_features_extractor.cnn.0.bias,"(32,)",32,-0.018489308655261993,0.030501987785100937,-0.09704465419054031,0.02123967558145523,0.09704465419054031,0.20177021622657776,0.7649167776107788,0.0,0.07715964317321777,0.09122160822153091,True
pi_features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0014439616352319717,0.034705568104982376,-0.24219372868537903,0.2354886531829834,0.24219372868537903,6.287813663482666,720.5330810546875,0.0,0.07587214559316635,0.12112673372030258,False
pi_features_extractor.cnn.2.bias,"(64,)",64,-0.01005729753524065,0.019627975299954414,-0.047532275319099426,0.033259306102991104,0.047532275319099426,0.17643703520298004,1.109726071357727,0.0,0.04440571367740631,0.047167643904685974,True
pi_features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.00043549761176109314,0.030196886509656906,-0.42538708448410034,0.2606365382671356,0.42538708448410034,5.798402786254883,595.3916015625,0.0,0.06773772090673447,0.11546327918767929,False
pi_features_extractor.cnn.4.bias,"(64,)",64,0.015244066715240479,0.024092938750982285,-0.04117904230952263,0.06661824136972427,0.06661824136972427,0.22808437049388885,1.3180980682373047,0.0,0.054841239005327225,0.06130494549870491,True
pi_features_extractor.linear.0.weight,"(512, 64)",32768,0.0018162063788622618,0.027893951162695885,-0.2668794095516205,0.2202759087085724,0.2668794095516205,5.060035228729248,489.8665771484375,0.0,0.06576179713010788,0.10151425749063492,False
pi_features_extractor.linear.0.bias,"(512,)",512,0.019764861091971397,0.029766706749796867,-0.07298896461725235,0.10109194368124008,0.10109194368124008,0.8085009455680847,11.862727165222168,0.0,0.08494126051664352,0.09826449304819107,True
vf_features_extractor.cnn.0.weight,"(32, 1, 8, 8)",2048,0.005058435723185539,0.12366004288196564,-0.3546121120452881,0.4247305989265442,0.4247305989265442,5.600894451141357,201.44210815429688,0.0,0.24697254598140717,0.3186783790588379,False
vf_features_extractor.cnn.0.bias,"(32,)",32,-0.018489308655261993,0.030501987785100937,-0.09704465419054031,0.02123967558145523,0.09704465419054031,0.20177021622657776,0.7649167776107788,0.0,0.07715964317321777,0.09122160822153091,True
vf_features_extractor.cnn.2.weight,"(64, 32, 4, 4)",32768,-0.0014439616352319717,0.034705568104982376,-0.24219372868537903,0.2354886531829834,0.24219372868537903,6.287813663482666,720.5330810546875,0.0,0.07587214559316635,0.12112673372030258,False
vf_features_extractor.cnn.2.bias,"(64,)",64,-0.01005729753524065,0.019627975299954414,-0.047532275319099426,0.033259306102991104,0.047532275319099426,0.17643703520298004,1.109726071357727,0.0,0.04440571367740631,0.047167643904685974,True
vf_features_extractor.cnn.4.weight,"(64, 64, 3, 3)",36864,-0.00043549761176109314,0.030196886509656906,-0.42538708448410034,0.2606365382671356,0.42538708448410034,5.798402786254883,595.3916015625,0.0,0.06773772090673447,0.11546327918767929,False
vf_features_extractor.cnn.4.bias,"(64,)",64,0.015244066715240479,0.024092938750982285,-0.04117904230952263,0.06661824136972427,0.06661824136972427,0.22808437049388885,1.3180980682373047,0.0,0.054841239005327225,0.06130494549870491,True
vf_features_extractor.linear.0.weight,"(512, 64)",32768,0.0018162063788622618,0.027893951162695885,-0.2668794095516205,0.2202759087085724,0.2668794095516205,5.060035228729248,489.8665771484375,0.0,0.06576179713010788,0.10151425749063492,False
vf_features_extractor.linear.0.bias,"(512,)",512,0.019764861091971397,0.029766706749796867,-0.07298896461725235,0.10109194368124008,0.10109194368124008,0.8085009455680847,11.862727165222168,0.0,0.08494126051664352,0.09826449304819107,True
action_net.weight,"(2, 512)",1024,-0.0022509361151605844,0.03264069929718971,-0.1168455258011818,0.1406102031469345,0.1406102031469345,1.046983003616333,21.9688720703125,0.0,0.07303428649902344,0.09928880631923676,False
action_net.bias,"(2,)",2,-0.03763062506914139,0.012990559451282024,-0.05062118545174599,-0.024640066549181938,0.05062118545174599,0.05629953369498253,0.07526125013828278,0.0,0.04932212829589844,0.050361376255750656,True
value_net.weight,"(1, 512)",512,-0.029334627091884613,0.09865474700927734,-0.28706520795822144,0.2216726392507553,0.28706520795822144,2.3288965225219727,38.1983642578125,0.0,0.19606295228004456,0.2514795660972595,False
value_net.bias,"(1,)",1,0.09876307845115662,0.0,0.09876307845115662,0.09876307845115662,0.09876307845115662,0.09876307845115662,0.09876307845115662,0.0,0.09876307845115662,0.09876307845115662,True
