steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
0.8,0.2,0.4,0.3,0.05,-21.700830459594727,0.0013263965956866741,2.0,1.0,48.23857498168945
0.8,0.2,0.4,0.3,0.1,-21.700830459594727,0.0013263965956866741,2.0,1.0,48.23857498168945
0.8,0.2,0.4,0.4,0.0,-22.451068878173828,0.00040640225051902235,2.0,1.0,44.3232536315918
0.8,0.2,0.4,0.4,0.05,-22.451068878173828,0.00040640225051902235,2.0,1.0,44.3232536315918
0.8,0.2,0.4,0.4,0.1,-22.451950073242188,0.00043176408507861197,2.0,1.0,44.3301887512207
0.8,0.2,0.4,0.5,0.0,-23.679588317871094,0.0,2.0,1.0,39.073062896728516
0.8,0.2,0.4,0.5,0.05,-23.679588317871094,0.0,2.0,1.0,39.073062896728516
0.8,0.2,0.4,0.5,0.1,-23.57693862915039,0.0,2.0,1.0,39.37812042236328
0.8,0.2,0.6,0.3,0.0,-20.150650024414062,0.0008374950266443193,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.3,0.05,-20.150650024414062,0.0008374950266443193,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.3,0.1,-20.150650024414062,0.0008374950266443193,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.4,0.0,-20.732267379760742,0.0010042230132967234,2.0,1.0,54.3021125793457
0.8,0.2,0.6,0.4,0.05,-20.732267379760742,0.0010042230132967234,2.0,1.0,54.3021125793457
0.8,0.2,0.6,0.4,0.1,-20.73227310180664,0.0010049841366708279,2.0,1.0,54.302146911621094
0.8,0.2,0.6,0.5,0.0,-21.682205200195312,0.0005473618512041867,2.0,1.0,48.478515625
0.8,0.2,0.6,0.5,0.05,-21.682205200195312,0.0005473618512041867,2.0,1.0,48.478515625
0.8,0.2,0.6,0.5,0.1,-21.55838394165039,0.0,2.0,1.0,48.75067901611328
0.8,0.2,0.8,0.3,0.0,-19.1024227142334,0.0011712904088199139,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.3,0.05,-19.1024227142334,0.0011712904088199139,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.3,0.1,-19.1024227142334,0.0011712904088199139,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.4,0.0,-19.470373153686523,0.00044965153210796416,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.4,0.05,-19.470373153686523,0.00044965153210796416,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.4,0.1,-19.470373153686523,0.00044965153210796416,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.5,0.0,-20.112323760986328,0.0,2.0,1.0,58.2772102355957
0.8,0.2,0.8,0.5,0.05,-20.112323760986328,0.0,2.0,1.0,58.2772102355957
0.8,0.2,0.8,0.5,0.1,-20.11278533935547,0.0,2.0,1.0,58.28110885620117
0.8,0.3,0.4,0.3,0.0,-19.958425521850586,0.0005785721587017179,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.3,0.05,-19.958425521850586,0.0005785721587017179,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.3,0.1,-19.958425521850586,0.0005785721587017179,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.4,0.0,-20.429147720336914,0.00016057338507380337,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.4,0.05,-20.429147720336914,0.00016057338507380337,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.4,0.1,-20.429147720336914,0.00016057338507380337,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.5,0.0,-21.293880462646484,0.00021896329417359084,2.0,1.0,50.52572250366211
0.8,0.3,0.4,0.5,0.05,-21.293880462646484,0.00021896329417359084,2.0,1.0,50.52572250366211
0.8,0.3,0.4,0.5,0.1,-21.293888092041016,0.00021913103410042822,2.0,1.0,50.5257453918457
0.8,0.3,0.6,0.3,0.0,-19.027435302734375,0.0024966904893517494,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.3,0.05,-19.027435302734375,0.0024966904893517494,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.3,0.1,-19.027435302734375,0.0024966904893517494,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.4,0.0,-19.25263786315918,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.4,0.05,-19.25263786315918,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.4,0.1,-19.25263786315918,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.5,0.0,-19.93121910095215,5.394796517066425e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.6,0.5,0.05,-19.93121910095215,5.394796517066425e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.6,0.5,0.1,-19.93121910095215,5.394796517066425e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.8,0.3,0.0,-18.244365692138672,0.001481316750869155,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.3,0.05,-18.244365692138672,0.001481316750869155,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.3,0.1,-18.244365692138672,0.001481316750869155,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.4,0.0,-18.529293060302734,0.0013613657793030143,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.4,0.05,-18.529293060302734,0.0013613657793030143,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.4,0.1,-18.529293060302734,0.0013613657793030143,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.5,0.0,-18.971282958984375,0.0002626011264510453,2.0,1.0,68.83064270019531
0.8,0.3,0.8,0.5,0.05,-18.971282958984375,0.0002626011264510453,2.0,1.0,68.83064270019531
0.8,0.3,0.8,0.5,0.1,-18.971282958984375,0.0002626011264510453,2.0,1.0,68.83064270019531
1.2,0.1,0.4,0.3,0.0,-23.802553176879883,0.00036539940629154444,2.0,1.0,34.48177719116211
1.2,0.1,0.4,0.3,0.05,-23.802553176879883,0.00036539940629154444,2.0,1.0,34.48177719116211
1.2,0.1,0.4,0.3,0.1,-23.69561195373535,0.00012232038716319948,2.0,1.0,34.70354461669922
1.2,0.1,0.4,0.4,0.0,-25.241296768188477,0.0,2.0,1.0,30.453088760375977
1.2,0.1,0.4,0.4,0.05,-25.241296768188477,0.0,2.0,1.0,30.453088760375977
1.2,0.1,0.4,0.4,0.1,-24.76339340209961,0.00017491749895270914,2.0,1.0,31.692691802978516
1.2,0.1,0.4,0.5,0.0,-27.580135345458984,0.0,2.0,1.0,25.675182342529297
1.2,0.1,0.4,0.5,0.05,-27.591190338134766,2.0040779418195598e-05,2.0,1.0,25.725238800048828
1.2,0.1,0.4,0.5,0.1,-25.9133243560791,0.0,2.0,1.0,28.777477264404297
1.2,0.1,0.6,0.3,0.0,-21.324167251586914,0.0007358085131272674,2.0,1.0,45.203285217285156
1.2,0.1,0.6,0.3,0.05,-21.324167251586914,0.0007358085131272674,2.0,1.0,45.203285217285156
1.2,0.1,0.6,0.3,0.1,-21.19071388244629,0.0,2.0,1.0,45.36817169189453
1.2,0.1,0.6,0.4,0.0,-22.16863441467285,0.00014429441944230348,2.0,1.0,41.047611236572266
1.2,0.1,0.6,0.4,0.05,-22.16863441467285,0.00014429441944230348,2.0,1.0,41.047611236572266
