steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
0.8,0.1,0.4,0.3,0.0,-10.006619453430176,0.0,2.0,1.0,35.116188049316406
0.8,0.1,0.4,0.3,0.05,-10.006619453430176,0.0,2.0,1.0,35.116188049316406
0.8,0.1,0.4,0.3,0.1,-10.022272109985352,0.00022307214385364205,2.0,1.0,35.210086822509766
0.8,0.1,0.4,0.4,0.0,-10.309290885925293,7.559455843875185e-05,2.0,1.0,30.935474395751953
0.8,0.1,0.4,0.4,0.05,-10.309290885925293,7.559455843875185e-05,2.0,1.0,30.935474395751953
0.8,0.1,0.4,0.4,0.1,-10.228609085083008,0.00030597284785471857,2.0,1.0,32.103126525878906
0.8,0.1,0.4,0.5,0.0,-10.716717720031738,0.0,2.0,1.0,26.294574737548828
0.8,0.1,0.4,0.5,0.05,-10.721736907958984,0.0,2.0,1.0,26.315454483032227
0.8,0.1,0.4,0.5,0.1,-10.4307222366333,0.0,2.0,1.0,29.10641860961914
0.8,0.1,0.6,0.3,0.0,-9.560741424560547,0.0,2.0,1.0,45.96125411987305
0.8,0.1,0.6,0.3,0.05,-9.560741424560547,0.0,2.0,1.0,45.96125411987305
0.8,0.1,0.6,0.3,0.1,-9.561747550964355,0.0,2.0,1.0,45.9681510925293
0.8,0.1,0.6,0.4,0.0,-9.760221481323242,0.00019110120774712414,2.0,1.0,41.477256774902344
0.8,0.1,0.6,0.4,0.05,-9.760221481323242,0.00019110120774712414,2.0,1.0,41.477256774902344
0.8,0.1,0.6,0.4,0.1,-9.746803283691406,0.00027913771918974817,2.0,1.0,41.8803596496582
0.8,0.1,0.6,0.5,0.0,-9.999201774597168,0.0,2.0,1.0,35.911319732666016
0.8,0.1,0.6,0.5,0.05,-9.999201774597168,0.0,2.0,1.0,35.911319732666016
0.8,0.1,0.6,0.5,0.1,-9.915678024291992,0.0,2.0,1.0,37.411407470703125
0.8,0.1,0.8,0.3,0.0,-9.328210830688477,0.0008705364889465272,2.0,1.0,56.34775924682617
0.8,0.1,0.8,0.3,0.05,-9.328210830688477,0.0008705364889465272,2.0,1.0,56.34775924682617
0.8,0.1,0.8,0.3,0.1,-9.328214645385742,0.000870917399879545,2.0,1.0,56.3477897644043
0.8,0.1,0.8,0.4,0.0,-9.390073776245117,0.0,2.0,1.0,52.22748947143555
0.8,0.1,0.8,0.4,0.05,-9.390073776245117,0.0,2.0,1.0,52.22748947143555
0.8,0.1,0.8,0.4,0.1,-9.395853996276855,0.0,2.0,1.0,52.271751403808594
0.8,0.1,0.8,0.5,0.0,-9.587302207946777,6.209877483343007e-06,2.0,1.0,45.95371627807617
0.8,0.1,0.8,0.5,0.05,-9.587302207946777,6.209877483343007e-06,2.0,1.0,45.95371627807617
0.8,0.1,0.8,0.5,0.1,-9.58366584777832,0.00010499430209165439,2.0,1.0,46.520606994628906
0.8,0.2,0.4,0.3,0.0,-9.540826797485352,0.0013267726171761751,2.0,1.0,48.23857498168945
0.8,0.2,0.4,0.3,0.05,-9.540826797485352,0.0013267726171761751,2.0,1.0,48.23857498168945
0.8,0.2,0.4,0.3,0.1,-9.540826797485352,0.0013267726171761751,2.0,1.0,48.23857498168945
0.8,0.2,0.4,0.4,0.0,-9.651069641113281,0.00040672035538591444,2.0,1.0,44.3232536315918
0.8,0.2,0.4,0.4,0.05,-9.651069641113281,0.00040672035538591444,2.0,1.0,44.3232536315918
0.8,0.2,0.4,0.4,0.1,-9.651949882507324,0.0004317552375141531,2.0,1.0,44.3301887512207
0.8,0.2,0.4,0.5,0.0,-9.839587211608887,0.0,2.0,1.0,39.073062896728516
0.8,0.2,0.4,0.5,0.05,-9.839587211608887,0.0,2.0,1.0,39.073062896728516
0.8,0.2,0.4,0.5,0.1,-9.816938400268555,0.0,2.0,1.0,39.37812042236328
0.8,0.2,0.6,0.3,0.0,-9.270649909973145,0.0008375307661481202,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.3,0.05,-9.270649909973145,0.0008375307661481202,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.3,0.1,-9.270649909973145,0.0008375307661481202,2.0,1.0,58.29497528076172
0.8,0.2,0.6,0.4,0.0,-9.372269630432129,0.0010043128859251738,2.0,1.0,54.3021125793457
0.8,0.2,0.6,0.4,0.05,-9.372269630432129,0.0010043128859251738,2.0,1.0,54.3021125793457
0.8,0.2,0.6,0.4,0.1,-9.372273445129395,0.0010046029929071665,2.0,1.0,54.302146911621094
0.8,0.2,0.6,0.5,0.0,-9.522204399108887,0.0005468912422657013,2.0,1.0,48.478515625
0.8,0.2,0.6,0.5,0.05,-9.522204399108887,0.0005468912422657013,2.0,1.0,48.478515625
0.8,0.2,0.6,0.5,0.1,-9.478384017944336,0.0,2.0,1.0,48.75067901611328
0.8,0.2,0.8,0.3,0.0,-9.102421760559082,0.0011714521097019315,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.3,0.05,-9.102421760559082,0.0011714521097019315,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.3,0.1,-9.102421760559082,0.0011714521097019315,2.0,1.0,68.00942993164062
0.8,0.2,0.8,0.4,0.0,-9.150374412536621,0.0004497372719924897,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.4,0.05,-9.150374412536621,0.0004497372719924897,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.4,0.1,-9.150374412536621,0.0004497372719924897,2.0,1.0,64.18363952636719
0.8,0.2,0.8,0.5,0.0,-9.232324600219727,0.0,2.0,1.0,58.2772102355957
0.8,0.2,0.8,0.5,0.05,-9.232324600219727,0.0,2.0,1.0,58.2772102355957
0.8,0.2,0.8,0.5,0.1,-9.23278522491455,0.0,2.0,1.0,58.28110885620117
0.8,0.3,0.4,0.3,0.0,-9.23842716217041,0.0005787332192994654,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.3,0.05,-9.23842716217041,0.0005787332192994654,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.3,0.1,-9.23842716217041,0.0005787332192994654,2.0,1.0,59.741607666015625
0.8,0.3,0.4,0.4,0.0,-9.3091459274292,0.00016081957437563688,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.4,0.05,-9.3091459274292,0.00016081957437563688,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.4,0.1,-9.3091459274292,0.00016081957437563688,2.0,1.0,56.06648635864258
0.8,0.3,0.4,0.5,0.0,-9.453883171081543,0.0002188245125580579,2.0,1.0,50.52572250366211
0.8,0.3,0.4,0.5,0.05,-9.453883171081543,0.0002188245125580579,2.0,1.0,50.52572250366211
0.8,0.3,0.4,0.5,0.1,-9.453886032104492,0.0002186581987189129,2.0,1.0,50.5257453918457
0.8,0.3,0.6,0.3,0.0,-9.10743522644043,0.0024963843170553446,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.3,0.05,-9.10743522644043,0.0024963843170553446,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.3,0.1,-9.10743522644043,0.0024963843170553446,2.0,1.0,69.19990539550781
0.8,0.3,0.6,0.4,0.0,-9.092637062072754,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.4,0.05,-9.092637062072754,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.4,0.1,-9.092637062072754,0.0,2.0,1.0,65.6180419921875
0.8,0.3,0.6,0.5,0.0,-9.21121883392334,5.082287771074334e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.6,0.5,0.05,-9.21121883392334,5.082287771074334e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.6,0.5,0.1,-9.21121883392334,5.082287771074334e-06,2.0,1.0,59.81499099731445
0.8,0.3,0.8,0.3,0.0,-8.96436595916748,0.0014813363086432219,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.3,0.05,-8.96436595916748,0.0014813363086432219,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.3,0.1,-8.96436595916748,0.0014813363086432219,2.0,1.0,78.27882385253906
0.8,0.3,0.8,0.4,0.0,-9.009291648864746,0.0013612802140414715,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.4,0.05,-9.009291648864746,0.0013612802140414715,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.4,0.1,-9.009291648864746,0.0013612802140414715,2.0,1.0,74.67412567138672
0.8,0.3,0.8,0.5,0.0,-9.05128288269043,0.00026240223087370396,2.0,1.0,68.83064270019531
0.8,0.3,0.8,0.5,0.05,-9.05128288269043,0.00026240223087370396,2.0,1.0,68.83064270019531
0.8,0.3,0.8,0.5,0.1,-9.05128288269043,0.00026240223087370396,2.0,1.0,68.83064270019531
1.2,0.1,0.4,0.3,0.0,-9.642553329467773,0.0003651860461104661,2.0,1.0,34.48177719116211
1.2,0.1,0.4,0.3,0.05,-9.642553329467773,0.0003651860461104661,2.0,1.0,34.48177719116211
1.2,0.1,0.4,0.3,0.1,-9.615612983703613,0.00012245119432918727,2.0,1.0,34.70354461669922
1.2,0.1,0.4,0.4,0.0,-9.881298065185547,0.0,2.0,1.0,30.453088760375977
1.2,0.1,0.4,0.4,0.05,-9.881298065185547,0.0,2.0,1.0,30.453088760375977
1.2,0.1,0.4,0.4,0.1,-9.803393363952637,0.00017513158672954887,2.0,1.0,31.692691802978516
1.2,0.1,0.4,0.5,0.0,-10.300135612487793,0.0,2.0,1.0,25.675182342529297
1.2,0.1,0.4,0.5,0.05,-10.311190605163574,1.9572407836676575e-05,2.0,1.0,25.725238800048828
1.2,0.1,0.4,0.5,0.1,-9.993324279785156,0.0,2.0,1.0,28.777477264404297
