steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
0.8,0.1,0.4,0.3,0.0,-7.345483303070068,0.0,3.0,1.0,34.37668991088867
0.8,0.1,0.4,0.3,0.05,-7.345483303070068,0.0,3.0,1.0,34.37668991088867
0.8,0.1,0.4,0.3,0.1,-7.248691558837891,2.680231955309864e-05,3.0,1.0,35.52178192138672
0.8,0.1,0.4,0.4,0.0,-8.155808448791504,0.0,3.0,1.0,28.678354263305664
0.8,0.1,0.4,0.4,0.05,-8.112190246582031,0.0,3.0,1.0,28.907360076904297
0.8,0.1,0.4,0.4,0.1,-7.588702201843262,4.76837158203125e-07,3.0,1.0,32.42916488647461
0.8,0.1,0.4,0.5,0.0,-9.177253723144531,0.0,3.0,1.0,23.6345157623291
0.8,0.1,0.4,0.5,0.05,-8.96415901184082,3.5683226542460034e-06,3.0,1.0,24.57802391052246
0.8,0.1,0.4,0.5,0.1,-7.992946624755859,0.0,3.0,1.0,29.61527442932129
0.8,0.1,0.6,0.3,0.0,-6.3402509689331055,0.0,3.0,1.0,45.975685119628906
0.8,0.1,0.6,0.3,0.05,-6.3402509689331055,0.0,3.0,1.0,45.975685119628906
0.8,0.1,0.6,0.3,0.1,-6.3369951248168945,3.382049544597976e-05,3.0,1.0,46.36384963989258
0.8,0.1,0.6,0.4,0.0,-6.884366035461426,4.76837158203125e-06,3.0,1.0,38.99778366088867
0.8,0.1,0.6,0.4,0.05,-6.885401725769043,6.106495220592478e-06,3.0,1.0,39.001976013183594
0.8,0.1,0.6,0.4,0.1,-6.663884162902832,1.365453840662667e-06,3.0,1.0,41.56615447998047
0.8,0.1,0.6,0.5,0.0,-7.661338806152344,0.0,3.0,1.0,31.939929962158203
0.8,0.1,0.6,0.5,0.05,-7.601746559143066,0.0,3.0,1.0,32.38927459716797
0.8,0.1,0.6,0.5,0.1,-7.065026760101318,1.9073486328125e-06,3.0,1.0,37.08325958251953
0.8,0.1,0.8,0.3,0.0,-5.717416763305664,0.0,3.0,1.0,58.042274475097656
0.8,0.1,0.8,0.3,0.05,-5.717416763305664,0.0,3.0,1.0,58.042274475097656
0.8,0.1,0.8,0.3,0.1,-5.72646427154541,3.224279862479307e-05,3.0,1.0,58.09772872924805
0.8,0.1,0.8,0.4,0.0,-6.059541702270508,1.1880806596309412e-05,3.0,1.0,50.8255500793457
0.8,0.1,0.8,0.4,0.05,-6.059541702270508,1.1880806596309412e-05,3.0,1.0,50.8255500793457
0.8,0.1,0.8,0.4,0.1,-6.009128570556641,5.5195418099174276e-05,3.0,1.0,52.01665496826172
0.8,0.1,0.8,0.5,0.0,-6.6084885597229,4.76837158203125e-07,3.0,1.0,42.10822677612305
0.8,0.1,0.8,0.5,0.05,-6.613626956939697,0.0,3.0,1.0,42.131160736083984
0.8,0.1,0.8,0.5,0.1,-6.357335090637207,0.0,3.0,1.0,45.754398345947266
0.8,0.2,0.4,0.3,0.0,-6.142513751983643,3.6977486161049455e-05,3.0,1.0,49.7123908996582
0.8,0.2,0.4,0.3,0.05,-6.142513751983643,3.6977486161049455e-05,3.0,1.0,49.7123908996582
0.8,0.2,0.4,0.3,0.1,-6.143100738525391,3.850353095913306e-05,3.0,1.0,49.715450286865234
0.8,0.2,0.4,0.4,0.0,-6.488367557525635,4.389388777781278e-05,3.0,1.0,43.958168029785156
